cp4,barrio,comuna,confianza_pct,n_segmentos,n_barrios_zona,fuente
1152,BARRACAS,4,50.0,46,3,GCBA+Correo Argentino (AMBIGUO)
1153,CONSTITUCION,1,54.5,44,2,GCBA+Correo Argentino (AMBIGUO)
1154,CONSTITUCION,1,70.0,40,2,GCBA+Correo Argentino
1155,LA BOCA,4,100.0,54,1,GCBA+Correo Argentino
1156,LA BOCA,4,100.0,86,1,GCBA+Correo Argentino
1157,LA BOCA,4,100.0,16,1,GCBA+Correo Argentino
1158,LA BOCA,4,100.0,26,1,GCBA+Correo Argentino
1159,LA BOCA,4,100.0,22,1,GCBA+Correo Argentino
1160,LA BOCA,4,100.0,12,1,GCBA+Correo Argentino
1161,LA BOCA,4,100.0,68,1,GCBA+Correo Argentino
1162,LA BOCA,4,100.0,62,1,GCBA+Correo Argentino
1163,LA BOCA,4,100.0,46,1,GCBA+Correo Argentino
1164,LA BOCA,4,100.0,54,1,GCBA+Correo Argentino
1165,LA BOCA,4,85.3,40,2,GCBA+Correo Argentino
1166,LA BOCA,4,100.0,46,1,GCBA+Correo Argentino
1168,LA BOCA,4,100.0,38,1,GCBA+Correo Argentino
1169,LA BOCA,4,100.0,42,1,GCBA+Correo Argentino
1170,BALVANERA,3,89.3,40,2,GCBA+Correo Argentino
1171,BALVANERA,3,92.9,28,2,GCBA+Correo Argentino
1172,ALMAGRO,5,38.5,26,3,GCBA+Correo Argentino (AMBIGUO)
1173,BALVANERA,3,50.0,12,2,GCBA+Correo Argentino (AMBIGUO)
1174,ALMAGRO,5,80.0,30,2,GCBA+Correo Argentino
1175,ALMAGRO,5,57.9,38,3,GCBA+Correo Argentino (AMBIGUO)
1176,ALMAGRO,5,63.2,38,2,GCBA+Correo Argentino
1177,ALMAGRO,5,75.0,40,2,GCBA+Correo Argentino
1178,ALMAGRO,5,100.0,16,1,GCBA+Correo Argentino
1179,ALMAGRO,5,68.4,40,2,GCBA+Correo Argentino
1180,PALERMO,14,,0,1,Override manual (sin calles en CPA)
1181,ALMAGRO,5,100.0,14,1,GCBA+Correo Argentino
1182,ALMAGRO,5,100.0,22,1,GCBA+Correo Argentino
1183,ALMAGRO,5,100.0,18,1,GCBA+Correo Argentino
1184,ALMAGRO,5,93.7,34,2,GCBA+Correo Argentino
1185,ALMAGRO,5,70.7,36,2,GCBA+Correo Argentino
1186,BALVANERA,3,75.0,16,2,GCBA+Correo Argentino
1187,RECOLETA,2,55.0,20,3,GCBA+Correo Argentino (AMBIGUO)
1188,PALERMO,14,43.8,16,4,GCBA+Correo Argentino (AMBIGUO)
1189,BALVANERA,3,50.0,24,2,GCBA+Correo Argentino (AMBIGUO)
1190,ALMAGRO,5,,0,1,Override manual (sin calles en CPA)
1191,ALMAGRO,5,83.3,12,2,GCBA+Correo Argentino
1192,ALMAGRO,5,95.5,44,2,GCBA+Correo Argentino
1193,BALVANERA,3,100.0,12,1,GCBA+Correo Argentino
1194,ALMAGRO,5,100.0,14,1,GCBA+Correo Argentino
1195,ALMAGRO,5,100.0,16,1,GCBA+Correo Argentino
1197,ALMAGRO,5,100.0,2,1,GCBA+Correo Argentino
1199,ALMAGRO,5,100.0,18,1,GCBA+Correo Argentino
1200,ALMAGRO,5,96.4,28,2,GCBA+Correo Argentino
1201,SAN CRISTOBAL,3,,0,1,Override manual (sin calles en CPA)
1202,ALMAGRO,5,100.0,16,1,GCBA+Correo Argentino
1203,SAN CRISTOBAL,3,,0,1,Override manual (sin calles en CPA)
1205,ALMAGRO,5,,0,1,Override manual (sin calles en CPA)
1206,ALMAGRO,5,100.0,16,1,GCBA+Correo Argentino
1207,SAN CRISTOBAL,3,,0,1,Override manual (sin calles en CPA)
1208,ALMAGRO,5,100.0,2,1,GCBA+Correo Argentino
1209,BALVANERA,3,100.0,10,1,GCBA+Correo Argentino
1210,ALMAGRO,5,90.9,22,2,GCBA+Correo Argentino
1211,ALMAGRO,5,,0,1,Override manual (sin calles en CPA)
1212,ALMAGRO,5,100.0,16,1,GCBA+Correo Argentino
1213,BALVANERA,3,100.0,26,1,GCBA+Correo Argentino
1214,BALVANERA,3,94.4,36,2,GCBA+Correo Argentino
1215,BALVANERA,3,94.4,38,2,GCBA+Correo Argentino
1216,BOEDO,5,57.1,14,2,GCBA+Correo Argentino (AMBIGUO)
1217,ALMAGRO,5,57.1,28,2,GCBA+Correo Argentino (AMBIGUO)
1218,ALMAGRO,5,,0,1,Override manual (sin calles en CPA)
1219,SAN CRISTOBAL,3,55.0,30,2,GCBA+Correo Argentino (AMBIGUO)
1220,SAN CRISTOBAL,3,44.4,18,4,GCBA+Correo Argentino (AMBIGUO)
1221,SAN CRISTOBAL,3,50.0,32,2,GCBA+Correo Argentino (AMBIGUO)
1222,BALVANERA,3,59.1,44,2,GCBA+Correo Argentino (AMBIGUO)
1223,ALMAGRO,5,66.7,48,2,GCBA+Correo Argentino
1224,SAN CRISTOBAL,3,57.1,14,2,GCBA+Correo Argentino (AMBIGUO)
1225,SAN CRISTOBAL,3,47.4,38,4,GCBA+Correo Argentino (AMBIGUO)
1226,BOEDO,5,53.9,28,2,GCBA+Correo Argentino (AMBIGUO)
1227,SAN CRISTOBAL,3,60.0,40,2,GCBA+Correo Argentino (AMBIGUO)
1228,BOEDO,5,78.9,38,2,GCBA+Correo Argentino
1229,SAN CRISTOBAL,3,66.7,14,2,GCBA+Correo Argentino
1230,SAN CRISTOBAL,3,53.4,58,2,GCBA+Correo Argentino (AMBIGUO)
1231,SAN CRISTOBAL,3,57.1,32,3,GCBA+Correo Argentino (AMBIGUO)
1232,SAN CRISTOBAL,3,100.0,36,1,GCBA+Correo Argentino
1233,BOEDO,5,75.0,32,2,GCBA+Correo Argentino
1235,CABALLITO,6,40.9,22,3,GCBA+Correo Argentino (AMBIGUO)
1236,BOEDO,5,52.9,34,2,GCBA+Correo Argentino (AMBIGUO)
1237,BOEDO,5,100.0,48,1,GCBA+Correo Argentino
1238,BOEDO,5,100.0,26,1,GCBA+Correo Argentino
1240,BOEDO,5,100.0,22,1,GCBA+Correo Argentino
1241,BOEDO,5,50.0,26,3,GCBA+Correo Argentino (AMBIGUO)
1242,PARQUE PATRICIOS,4,76.5,34,2,GCBA+Correo Argentino
1243,SAN CRISTOBAL,3,54.9,40,2,GCBA+Correo Argentino (AMBIGUO)
1244,PARQUE PATRICIOS,4,62.5,50,2,GCBA+Correo Argentino
1245,PARQUE PATRICIOS,4,50.0,22,2,GCBA+Correo Argentino (AMBIGUO)
1246,PARQUE PATRICIOS,4,58.3,52,2,GCBA+Correo Argentino (AMBIGUO)
1247,PARQUE PATRICIOS,4,63.6,22,2,GCBA+Correo Argentino
1248,SAN CRISTOBAL,3,100.0,24,1,GCBA+Correo Argentino
1249,PARQUE PATRICIOS,4,60.0,20,2,GCBA+Correo Argentino
1250,BOEDO,5,50.0,36,2,GCBA+Correo Argentino (AMBIGUO)
1251,SAN CRISTOBAL,3,90.0,22,2,GCBA+Correo Argentino
1252,SAN CRISTOBAL,3,60.7,56,2,GCBA+Correo Argentino
1253,BOEDO,5,82.8,58,2,GCBA+Correo Argentino
1254,SAN CRISTOBAL,3,58.0,62,2,GCBA+Correo Argentino (AMBIGUO)
1255,BOEDO,5,100.0,36,1,GCBA+Correo Argentino
1256,BOEDO,5,40.6,64,3,GCBA+Correo Argentino (AMBIGUO)
1257,BOEDO,5,100.0,48,1,GCBA+Correo Argentino
1258,BOEDO,5,54.2,48,2,GCBA+Correo Argentino (AMBIGUO)
1259,PARQUE PATRICIOS,4,,0,1,Override manual (sin calles en CPA)
1260,PARQUE PATRICIOS,4,100.0,32,1,GCBA+Correo Argentino
1261,PARQUE PATRICIOS,4,100.0,44,1,GCBA+Correo Argentino
1262,BOEDO,5,100.0,2,1,GCBA+Correo Argentino
1263,NUEVA POMPEYA,4,42.8,28,3,GCBA+Correo Argentino (AMBIGUO)
1264,PARQUE PATRICIOS,4,100.0,28,1,GCBA+Correo Argentino
1265,BARRACAS,4,62.5,42,2,GCBA+Correo Argentino
1266,LA BOCA,4,50.0,14,2,GCBA+Correo Argentino (AMBIGUO)
1267,BARRACAS,4,100.0,40,1,GCBA+Correo Argentino
1268,BARRACAS,4,100.0,64,1,GCBA+Correo Argentino
1269,BARRACAS,4,100.0,14,1,GCBA+Correo Argentino
1270,BARRACAS,4,100.0,80,1,GCBA+Correo Argentino
1271,BARRACAS,4,100.0,2,1,GCBA+Correo Argentino
1272,BARRACAS,4,100.0,8,1,GCBA+Correo Argentino
1273,BARRACAS,4,100.0,26,1,GCBA+Correo Argentino
1274,BARRACAS,4,100.0,48,1,GCBA+Correo Argentino
1275,BARRACAS,4,100.0,46,1,GCBA+Correo Argentino
1276,BARRACAS,4,100.0,44,1,GCBA+Correo Argentino
1277,BARRACAS,4,100.0,44,1,GCBA+Correo Argentino
1278,BARRACAS,4,100.0,38,1,GCBA+Correo Argentino
1279,BARRACAS,4,100.0,42,1,GCBA+Correo Argentino
1280,BARRACAS,4,100.0,32,1,GCBA+Correo Argentino
1281,BARRACAS,4,82.2,34,2,GCBA+Correo Argentino
1282,PARQUE PATRICIOS,4,51.7,64,2,GCBA+Correo Argentino (AMBIGUO)
1283,BARRACAS,4,55.9,40,2,GCBA+Correo Argentino (AMBIGUO)
1284,PARQUE PATRICIOS,4,54.7,72,2,GCBA+Correo Argentino (AMBIGUO)
1285,BARRACAS,4,100.0,36,1,GCBA+Correo Argentino
1286,BARRACAS,4,100.0,52,1,GCBA+Correo Argentino
1287,BARRACAS,4,100.0,46,1,GCBA+Correo Argentino
1288,BARRACAS,4,100.0,48,1,GCBA+Correo Argentino
1289,BARRACAS,4,100.0,48,1,GCBA+Correo Argentino
1290,BARRACAS,4,100.0,82,1,GCBA+Correo Argentino
1291,BARRACAS,4,100.0,8,1,GCBA+Correo Argentino
1292,BARRACAS,4,100.0,56,1,GCBA+Correo Argentino
1293,BARRACAS,4,100.0,88,1,GCBA+Correo Argentino
1294,BARRACAS,4,100.0,46,1,GCBA+Correo Argentino
1295,BARRACAS,4,100.0,74,1,GCBA+Correo Argentino
1296,BARRACAS,4,100.0,24,1,GCBA+Correo Argentino
1405,CABALLITO,6,93.7,666,4,GCBA+Correo Argentino
1406,FLORES,7,69.6,2113,8,GCBA+Correo Argentino
1407,PARQUE AVELLANEDA,9,29.2,3052,12,GCBA+Correo Argentino (AMBIGUO)
1408,LINIERS,9,56.0,2099,9,GCBA+Correo Argentino (AMBIGUO)
1414,VILLA CRESPO,15,51.3,854,4,GCBA+Correo Argentino (AMBIGUO)
1416,VILLA GRAL. MITRE,11,33.3,1310,11,GCBA+Correo Argentino (AMBIGUO)
1417,VILLA DEL PARQUE,11,39.0,1590,8,GCBA+Correo Argentino (AMBIGUO)
1419,VILLA DEVOTO,11,55.7,2160,8,GCBA+Correo Argentino (AMBIGUO)
1424,PARQUE CHACABUCO,7,56.6,598,3,GCBA+Correo Argentino (AMBIGUO)
1425,PALERMO,14,70.3,1497,5,GCBA+Correo Argentino
1426,COLEGIALES,13,41.7,774,5,GCBA+Correo Argentino (AMBIGUO)
1427,CHACARITA,15,34.0,800,7,GCBA+Correo Argentino (AMBIGUO)
1428,BELGRANO,13,94.3,832,5,GCBA+Correo Argentino
1429,NUÑEZ,13,67.4,768,4,GCBA+Correo Argentino
1430,SAAVEDRA,12,38.4,1050,5,GCBA+Correo Argentino (AMBIGUO)
1431,VILLA URQUIZA,12,63.0,1148,7,GCBA+Correo Argentino
1437,NUEVA POMPEYA,4,54.5,2556,7,GCBA+Correo Argentino (AMBIGUO)
1439,VILLA LUGANO,8,82.0,1677,4,GCBA+Correo Argentino
1440,MATADEROS,9,93.6,1714,4,GCBA+Correo Argentino
